num_fog_nodes,scheduling_latency_ms,workload_imbalance,scheduling_comm_kb,convergence_time_epochs
5.000000,0.000264,1.275351,0.156250,18.000000
10.000000,0.000379,2.101888,0.312500,18.000000
15.000000,0.000480,2.693559,0.468750,18.000000
20.000000,0.000606,3.174708,0.625000,18.000000
25.000000,0.000713,3.596840,0.781250,18.000000
30.000000,0.000842,3.969990,0.937500,18.000000
35.000000,0.000930,4.312412,1.093750,18.000000
40.000000,0.001053,4.629822,1.250000,18.000000
45.000000,0.001127,4.927635,1.406250,18.000000
50.000000,0.001274,5.206965,1.562500,18.000000
