num_fog_nodes,scheduling_latency_ms,workload_imbalance,scheduling_comm_kb,convergence_time_epochs
5,0.003521,1.268870,500.000000,18.000000
10,0.003524,2.089660,1000.000000,18.000000
15,0.003542,2.678459,1500.000000,18.000000
20,0.003639,3.157459,2000.000000,18.000000
25,0.003672,3.576455,2500.000000,18.000000
30,0.003768,3.948667,3000.000000,18.000000
35,0.003779,4.290730,3500.000000,18.000000
40,0.003807,4.605448,4000.000000,18.000000
45,0.003771,4.902376,4500.000000,18.000000
50,0.003783,5.180034,5000.000000,18.000000
