epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,10.192311,0.001099,1.004162,0.000000,0.000000,1.000000,0.790314,1,0.000192,0.000717,2.693559,10.067191,1.510079,0.468750,0.000000,0.000000
1,10.096829,0.001324,1.004318,0.000000,0.000000,1.000000,0.805173,1,0.000124,0.000881,2.406692,9.984025,1.497604,0.468750,0.000000,0.000000
2,10.403642,0.001034,1.004570,0.000000,0.000000,1.000000,0.819186,1,0.000063,0.000865,2.151123,10.301859,1.545279,0.468750,0.000000,0.000000
3,10.274870,0.001140,1.004735,0.000000,0.000000,1.000000,0.832792,1,0.000154,0.001109,1.919172,10.183065,1.527460,0.468750,0.000000,0.000000
4,10.144956,0.001189,1.004835,0.000000,0.000000,1.000000,0.845835,1,0.000144,0.000949,1.710828,10.062161,1.509324,0.468750,0.000000,0.000000
5,10.345675,0.001227,1.005104,0.000000,0.000000,1.000000,0.858335,1,0.000138,0.001192,1.526219,10.270879,1.540632,0.468750,0.000000,0.000000
6,10.185202,0.000000,0.993993,0.000000,0.000000,1.000000,0.870660,0,0.000149,0.000877,1.357779,10.117773,1.517666,0.468750,0.000000,0.000000
7,10.238486,0.000000,0.998494,0.000000,0.000000,1.000000,0.882892,0,0.000146,0.000952,1.205769,10.177730,1.526660,0.468750,0.000000,0.000000
8,10.174249,0.000000,0.996096,0.000000,0.000000,1.000000,0.890121,0,0.000147,0.000820,1.070101,10.081491,1.512224,0.468750,0.000000,0.000000
9,10.195650,0.000000,0.999499,0.000000,0.000000,1.000000,0.900788,0,0.000085,0.000853,0.950826,10.071223,1.510683,0.468750,0.000000,0.000000
10,10.075050,0.000000,1.000338,0.000000,0.000000,1.000000,0.907137,0,0.000063,0.001139,0.847580,9.956625,1.493494,0.468750,0.000000,0.000000
11,10.033204,0.000000,1.000617,0.000000,0.000000,1.000000,0.912657,0,0.000181,0.000964,0.753014,9.888444,1.483267,0.468750,0.000000,0.000000
12,10.292089,0.000000,1.000886,0.000000,0.000000,1.000000,0.918454,0,0.000144,0.001154,0.667656,10.186994,1.528049,0.468750,0.000000,0.000000
13,10.179442,0.000000,1.001789,0.000000,0.000000,1.000000,0.923663,0,0.000067,0.001007,0.598541,10.100020,1.515003,0.468750,0.000000,0.000000
14,10.072475,0.000000,1.002002,0.000000,0.000000,1.000000,0.928350,0,0.000067,0.001044,0.539027,9.951379,1.492707,0.468750,0.000000,0.000000
15,10.377820,0.000000,1.003296,0.000000,0.000000,1.000000,0.933392,0,0.000064,0.000920,0.481985,10.248395,1.537259,0.468750,0.000000,0.000000
16,10.280421,0.000000,1.002709,0.000000,0.000000,1.000000,0.937020,0,0.000063,0.000892,0.434569,10.152988,1.522948,0.468750,0.000000,0.000000
17,10.345714,0.000000,1.003850,0.000000,0.000000,1.000000,0.941302,0,0.000067,0.000930,0.396891,10.218284,1.532743,0.468750,0.000000,0.000000
18,10.156529,0.000000,1.003106,0.000000,0.000000,1.000000,0.943711,0,0.000139,0.001215,0.367427,10.037425,1.505614,0.468750,0.000000,0.000000
19,10.243588,0.000000,1.004400,0.000000,0.000000,1.000000,0.947576,0,0.000144,0.001144,0.336579,9.995828,1.499374,0.468750,0.000000,0.000000
20,10.111977,0.000000,1.001707,0.000000,0.000000,1.000000,0.950124,0,0.000138,0.000953,0.308285,9.906536,1.485980,0.468750,0.000000,0.000000
21,10.224361,0.000000,1.003502,0.000000,0.000000,1.000000,0.955309,0,0.000160,0.001115,0.282732,9.932260,1.489839,0.468750,0.000000,0.000000
22,10.532435,0.000000,1.003789,0.000000,0.000000,1.000000,0.957976,0,0.000145,0.000991,0.262072,10.206670,1.531000,0.468750,0.000000,0.000000
23,10.315207,0.000000,1.003750,0.000000,0.000000,1.000000,0.960523,0,0.000147,0.001422,0.242149,10.033775,1.505066,0.468750,0.000000,0.000000
24,10.170286,0.000000,1.003979,0.000000,0.000000,1.000000,0.963736,0,0.000169,0.000971,0.219464,9.936195,1.490429,0.468750,0.000000,0.000000
25,10.531393,0.000000,1.003989,0.000000,0.000000,1.000000,0.965550,0,0.000158,0.000790,0.202821,10.249619,1.537443,0.468750,0.000000,0.000000
26,10.450688,0.000000,1.001707,0.000000,0.000000,1.000000,0.968912,0,0.000160,0.000802,0.184864,10.155913,1.523387,0.468750,0.000000,0.000000
27,10.538619,0.000000,1.004102,0.000000,0.000000,1.000000,0.968912,0,0.000189,0.001018,0.169485,10.204865,1.530730,0.468750,0.000000,0.000000
28,10.365011,0.000000,1.001793,0.000000,0.000000,1.000000,0.970135,0,0.000162,0.000788,0.154679,10.029916,1.504487,0.468750,0.000000,0.000000
29,10.404775,0.000000,1.004277,0.000000,0.000000,1.000000,0.970135,0,0.000135,0.000768,0.146633,10.069674,1.510451,0.468750,0.000000,0.000000
30,10.108537,0.001016,1.004162,0.000000,0.000000,1.000000,0.790314,1,0.000268,0.000869,2.693559,9.983416,1.497512,0.468750,0.000000,0.000000
31,10.133499,0.001341,1.004318,0.000000,0.000000,1.000000,0.805173,1,0.000048,0.000726,2.406692,10.020690,1.503104,0.468750,0.000000,0.000000
32,10.323764,0.001027,1.004570,0.000000,0.000000,1.000000,0.819186,1,0.000156,0.000869,2.151123,10.221985,1.533298,0.468750,0.000000,0.000000
33,10.152452,0.001304,1.004735,0.000000,0.000000,1.000000,0.832792,1,0.000154,0.000846,1.919172,10.060651,1.509098,0.468750,0.000000,0.000000
34,10.077785,0.001310,1.004835,0.000000,0.000000,1.000000,0.845835,1,0.000158,0.001146,1.710828,9.994985,1.499248,0.468750,0.000000,0.000000
35,10.347701,0.001433,1.005104,0.000000,0.000000,1.000000,0.858335,1,0.000112,0.001030,1.526219,10.272892,1.540934,0.468750,0.000000,0.000000
36,10.280366,0.000000,0.993993,0.000000,0.000000,1.000000,0.870660,0,0.000075,0.000990,1.357779,10.212934,1.531940,0.468750,0.000000,0.000000
37,10.296470,0.000000,0.998494,0.000000,0.000000,1.000000,0.882892,0,0.000190,0.001222,1.205769,10.235711,1.535357,0.468750,0.000000,0.000000
38,10.144153,0.000000,0.996096,0.000000,0.000000,1.000000,0.890121,0,0.000156,0.001173,1.070101,10.051389,1.507708,0.468750,0.000000,0.000000
39,10.345546,0.000000,0.999499,0.000000,0.000000,1.000000,0.900788,0,0.000162,0.001168,0.950826,10.221120,1.533168,0.468750,0.000000,0.000000
40,10.314351,0.000000,1.000338,0.000000,0.000000,1.000000,0.907137,0,0.000286,0.001150,0.847580,10.195922,1.529388,0.468750,0.000000,0.000000
41,10.177184,0.000000,1.000617,0.000000,0.000000,1.000000,0.912657,0,0.000148,0.001204,0.753014,10.032413,1.504862,0.468750,0.000000,0.000000
42,10.379479,0.000000,1.000886,0.000000,0.000000,1.000000,0.918454,0,0.000200,0.001317,0.667656,10.274380,1.541157,0.468750,0.000000,0.000000
43,10.179930,0.000000,1.001789,0.000000,0.000000,1.000000,0.923663,0,0.000167,0.000930,0.598541,10.100499,1.515075,0.468750,0.000000,0.000000
44,10.225791,0.000000,1.002002,0.000000,0.000000,1.000000,0.928350,0,0.000145,0.001004,0.539027,10.104690,1.515703,0.468750,0.000000,0.000000
45,10.432775,0.000000,1.003296,0.000000,0.000000,1.000000,0.933392,0,0.000421,0.001001,0.481985,10.303351,1.545503,0.468750,0.000000,0.000000
46,10.259573,0.000000,1.002709,0.000000,0.000000,1.000000,0.937020,0,0.000146,0.000991,0.434569,10.132144,1.519822,0.468750,0.000000,0.000000
47,10.405488,0.000000,1.003850,0.000000,0.000000,1.000000,0.941302,0,0.000153,0.001138,0.396891,10.278061,1.541709,0.468750,0.000000,0.000000
48,10.423440,0.000000,1.003106,0.000000,0.000000,1.000000,0.943711,0,0.000200,0.001029,0.367427,10.304342,1.545651,0.468750,0.000000,0.000000
49,10.443886,0.000000,1.004400,0.000000,0.000000,1.000000,0.947576,0,0.000166,0.001520,0.336579,10.196125,1.529419,0.468750,0.000000,0.000000
50,10.334018,0.000000,1.001707,0.000000,0.000000,1.000000,0.950124,0,0.000156,0.001170,0.308285,10.128577,1.519287,0.468750,0.000000,0.000000
51,10.304253,0.000000,1.003502,0.000000,0.000000,1.000000,0.955309,0,0.000274,0.000976,0.282732,10.012155,1.501823,0.468750,0.000000,0.000000
52,10.603440,0.000000,1.003789,0.000000,0.000000,1.000000,0.957976,0,0.000318,0.001338,0.262072,10.277667,1.541650,0.468750,0.000000,0.000000
53,10.404321,0.000000,1.003750,0.000000,0.000000,1.000000,0.960523,0,0.000163,0.001262,0.242149,10.122886,1.518433,0.468750,0.000000,0.000000
54,10.245990,0.000000,1.003979,0.000000,0.000000,1.000000,0.963736,0,0.000194,0.001003,0.219464,10.011894,1.501784,0.468750,0.000000,0.000000
55,10.617566,0.000000,1.002756,0.000000,0.000000,1.000000,0.965550,0,0.000150,0.000780,0.202821,10.335806,1.550371,0.468750,0.000000,0.000000
56,10.499031,0.000000,1.003116,0.000000,0.000000,1.000000,0.965550,0,0.000148,0.000985,0.186576,10.167260,1.525089,0.468750,0.000000,0.000000
57,10.457171,0.000000,1.004102,0.000000,0.000000,1.000000,0.969472,0,0.000260,0.001090,0.169055,10.162402,1.524360,0.468750,0.000000,0.000000
58,10.410398,0.000000,1.001734,0.000000,0.000000,1.000000,0.970695,0,0.000149,0.000973,0.154208,10.074970,1.511245,0.468750,0.000000,0.000000
59,10.334703,0.000000,1.004277,0.000000,0.000000,1.000000,0.970695,0,0.000158,0.001025,0.145570,9.999273,1.499891,0.468750,0.000000,0.000000
60,10.059961,0.001043,1.004162,0.000000,0.000000,1.000000,0.790314,1,0.000143,0.001219,2.693559,9.934832,1.490225,0.468750,0.000000,0.000000
61,10.109290,0.001340,1.004318,0.000000,0.000000,1.000000,0.805173,1,0.000072,0.001230,2.406692,9.996487,1.499473,0.468750,0.000000,0.000000
62,10.383562,0.001401,1.004570,0.000000,0.000000,1.000000,0.819186,1,0.000140,0.001219,2.151123,10.281735,1.542260,0.468750,0.000000,0.000000
63,10.185053,0.001085,1.004735,0.000000,0.000000,1.000000,0.832792,1,0.000155,0.001042,1.919172,10.093269,1.513990,0.468750,0.000000,0.000000
64,10.131691,0.001030,1.004835,0.000000,0.000000,1.000000,0.845835,1,0.000157,0.001249,1.710828,10.048911,1.507337,0.468750,0.000000,0.000000
65,10.310038,0.000999,1.005104,0.000000,0.000000,1.000000,0.858335,1,0.000158,0.001071,1.526219,10.235257,1.535289,0.468750,0.000000,0.000000
66,10.184970,0.000000,0.993993,0.000000,0.000000,1.000000,0.870660,0,0.000092,0.001215,1.357779,10.117541,1.517631,0.468750,0.000000,0.000000
67,10.235349,0.000000,0.998494,0.000000,0.000000,1.000000,0.882892,0,0.000085,0.001160,1.205769,10.174589,1.526188,0.468750,0.000000,0.000000
68,10.101094,0.000000,0.996096,0.000000,0.000000,1.000000,0.890121,0,0.000166,0.001060,1.070101,10.008335,1.501250,0.468750,0.000000,0.000000
69,10.139303,0.000000,0.999499,0.000000,0.000000,1.000000,0.900788,0,0.000088,0.001215,0.950826,10.014872,1.502231,0.468750,0.000000,0.000000
