num_fog_nodes,scheduling_latency_ms,std_scheduling_latency_ms,state_refresh_ms,std_state_refresh_ms,workload_imbalance,std_workload_imbalance,scheduling_comm_kb,convergence_time_epochs
5.000000,0.000062,0.000031,0.000440,0.000118,0.316599,0.336142,0.156250,3.000000
10.000000,0.000122,0.000065,0.000761,0.000168,0.597578,0.570240,0.312500,13.966667
15.000000,0.000176,0.000070,0.001003,0.000367,0.819620,0.719133,0.468750,18.000000
20.000000,0.000206,0.000088,0.001301,0.000222,0.986782,0.840696,0.625000,18.000000
25.000000,0.000239,0.000300,0.001592,0.000563,1.129916,0.952767,0.781250,18.000000
30.000000,0.000232,0.000079,0.001663,0.000499,1.254961,1.052569,0.937500,18.000000
35.000000,0.000237,0.000104,0.002126,0.000508,1.361993,1.150574,1.093750,18.000000
40.000000,0.000251,0.000090,0.002214,0.000384,1.467025,1.232584,1.250000,18.000000
45.000000,0.000296,0.000120,0.002358,0.000588,1.565240,1.314205,1.406250,18.000000
50.000000,0.000313,0.000112,0.002453,0.000626,1.654908,1.390069,1.562500,18.000000
