epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,11.299265,0.002212,1.002626,0.000000,0.000000,1.000000,0.800000,1,0.000503,0.000910,0.917666,11.174104,1.676116,0.000000,0.000000,0.000000
1,11.036132,0.002492,1.002834,0.000000,0.000000,1.000000,0.811000,1,0.000465,0.000828,0.810006,10.923462,1.638519,0.000000,0.000000,0.000000
2,11.355681,0.001850,1.002958,0.000000,0.000000,1.000000,0.821500,1,0.000440,0.001415,0.713730,11.254294,1.688144,0.000000,0.000000,0.000000
3,11.230769,0.001907,1.003123,0.000000,0.000000,1.000000,0.832000,1,0.000335,0.001247,0.628498,11.139378,1.670907,0.000000,0.000000,0.000000
4,11.140889,0.001842,1.003225,0.000000,0.000000,1.000000,0.842500,1,0.000378,0.001085,0.552277,11.058500,1.658775,0.000000,0.000000,0.000000
5,11.510342,0.002318,1.003397,0.000000,0.000000,1.000000,0.853000,1,0.000489,0.001311,0.485026,11.435931,1.715390,0.000000,0.000000,0.000000
6,11.306756,0.002505,1.003515,0.000000,0.000000,1.000000,0.863500,1,0.000491,0.001294,0.424782,11.239584,1.685938,0.000000,0.000000,0.000000
7,11.241032,0.001673,1.003757,0.000000,0.000000,1.000000,0.874000,1,0.000376,0.001305,0.371564,11.180402,1.677060,0.000000,0.000000,0.000000
8,11.167127,0.000000,0.994830,0.000000,0.000000,1.000000,0.884500,0,0.000404,0.001519,0.323574,11.112537,1.666881,0.000000,0.000000,0.000000
9,11.153456,0.000000,0.995643,0.000000,0.000000,1.000000,0.895000,0,0.000514,0.001488,0.282701,11.072106,1.660816,0.000000,0.000000,0.000000
10,11.106698,0.000000,0.996425,0.000000,0.000000,1.000000,0.904500,0,0.000648,0.001453,0.247204,10.999095,1.649864,0.000000,0.000000,0.000000
11,11.134437,0.000000,0.997096,0.000000,0.000000,1.000000,0.913000,0,0.000665,0.001172,0.217187,10.972591,1.645889,0.000000,0.000000,0.000000
12,11.389398,0.000000,0.997817,0.000000,0.000000,1.000000,0.921000,0,0.000781,0.001311,0.191337,11.176800,1.676520,0.000000,0.000000,0.000000
13,11.177410,0.000000,0.998443,0.000000,0.000000,1.000000,0.928000,0,0.000591,0.001409,0.171260,10.942053,1.641308,0.000000,0.000000,0.000000
14,11.165214,0.000000,0.998579,0.000000,0.000000,1.000000,0.934500,0,0.000668,0.001322,0.155756,10.907352,1.636103,0.000000,0.000000,0.000000
15,11.491832,0.000000,0.998764,0.000000,0.000000,1.000000,0.940500,0,0.000621,0.001407,0.140784,11.236966,1.685545,0.000000,0.000000,0.000000
16,11.430976,0.000000,0.998981,0.000000,0.000000,1.000000,0.946500,0,0.000573,0.001467,0.125936,11.179124,1.676869,0.000000,0.000000,0.000000
17,11.413960,0.000000,0.999029,0.000000,0.000000,1.000000,0.952000,0,0.000555,0.001360,0.112561,11.164854,1.674728,0.000000,0.000000,0.000000
18,11.184274,0.000000,0.999127,0.000000,0.000000,1.000000,0.957500,0,0.000670,0.001227,0.097929,10.937918,1.640688,0.000000,0.000000,0.000000
19,11.296350,0.000000,0.999843,0.000000,0.000000,1.000000,0.963000,0,0.000540,0.001493,0.082037,11.052742,1.657911,0.000000,0.000000,0.000000
20,11.093237,0.000000,1.000000,0.000000,0.000000,1.000000,0.968000,0,0.000651,0.001176,0.072042,10.852384,1.627858,0.000000,0.000000,0.000000
21,11.162570,0.000000,1.000054,0.000000,0.000000,1.000000,0.973000,0,0.000605,0.001493,0.063087,10.924450,1.638668,0.000000,0.000000,0.000000
22,11.499236,0.000000,1.000152,0.000000,0.000000,1.000000,0.978000,0,0.000457,0.001500,0.053666,11.288879,1.693332,0.000000,0.000000,0.000000
23,11.326140,0.000000,1.000152,0.000000,0.000000,1.000000,0.981500,0,0.000552,0.001372,0.046690,11.142788,1.671418,0.000000,0.000000,0.000000
24,11.130122,0.000000,1.000253,0.000000,0.000000,1.000000,0.985000,0,0.000509,0.001400,0.038471,10.973756,1.646063,0.000000,0.000000,0.000000
25,11.636131,0.000000,1.000409,0.000000,0.000000,1.000000,0.987500,0,0.000625,0.001258,0.031305,11.456023,1.718403,0.000000,0.000000,0.000000
26,11.587821,0.000000,1.000501,0.000000,0.000000,1.000000,0.988500,0,0.000743,0.001262,0.027928,11.383454,1.707518,0.000000,0.000000,0.000000
27,11.405313,0.000000,1.000546,0.000000,0.000000,1.000000,0.988500,0,0.000728,0.001410,0.027928,11.201955,1.680293,0.000000,0.000000,0.000000
28,11.198531,0.000000,1.000446,0.000000,0.000000,1.000000,0.988000,0,0.000786,0.001364,0.029665,10.969674,1.645451,0.000000,0.000000,0.000000
29,11.183168,0.000000,1.000501,0.000000,0.000000,1.000000,0.988500,0,0.000501,0.001249,0.027928,10.928560,1.639284,0.000000,0.000000,0.000000
30,10.966071,0.002140,1.002626,0.000000,0.000000,1.000000,0.800000,1,0.000635,0.001332,0.917666,10.840912,1.626137,0.000000,0.000000,0.000000
31,10.783800,0.002344,1.002834,0.000000,0.000000,1.000000,0.811000,1,0.000571,0.000951,0.810006,10.671135,1.600670,0.000000,0.000000,0.000000
32,11.190787,0.002721,1.002958,0.000000,0.000000,1.000000,0.821500,1,0.000355,0.001144,0.713730,11.089354,1.663403,0.000000,0.000000,0.000000
33,11.014244,0.002235,1.003123,0.000000,0.000000,1.000000,0.832000,1,0.000474,0.001202,0.628498,10.922837,1.638426,0.000000,0.000000,0.000000
34,11.128855,0.002278,1.003225,0.000000,0.000000,1.000000,0.842500,1,0.000503,0.001313,0.552277,11.046442,1.656966,0.000000,0.000000,0.000000
35,11.227476,0.003101,1.003397,0.000000,0.000000,1.000000,0.853000,1,0.000564,0.001271,0.485026,11.153027,1.672954,0.000000,0.000000,0.000000
36,11.256823,0.002057,1.003515,0.000000,0.000000,1.000000,0.863500,1,0.000414,0.000907,0.424782,11.189675,1.678451,0.000000,0.000000,0.000000
37,11.201374,0.002356,1.003757,0.000000,0.000000,1.000000,0.874000,1,0.000532,0.001666,0.371564,11.140710,1.671107,0.000000,0.000000,0.000000
38,11.344939,0.000000,0.994830,0.000000,0.000000,1.000000,0.884500,0,0.000410,0.001419,0.323574,11.290334,1.693550,0.000000,0.000000,0.000000
39,11.201226,0.000000,0.995643,0.000000,0.000000,1.000000,0.895000,0,0.000497,0.001477,0.282701,11.119872,1.667981,0.000000,0.000000,0.000000
40,10.942215,0.000000,0.996425,0.000000,0.000000,1.000000,0.904500,0,0.000526,0.001162,0.247204,10.834610,1.625191,0.000000,0.000000,0.000000
41,10.999668,0.000000,0.997096,0.000000,0.000000,1.000000,0.913000,0,0.000688,0.001447,0.217187,10.837818,1.625673,0.000000,0.000000,0.000000
42,11.393894,0.000000,0.997817,0.000000,0.000000,1.000000,0.921000,0,0.000515,0.001387,0.191337,11.181294,1.677194,0.000000,0.000000,0.000000
43,11.464226,0.000000,0.998443,0.000000,0.000000,1.000000,0.928000,0,0.000595,0.001455,0.171260,11.228867,1.684330,0.000000,0.000000,0.000000
44,11.401695,0.000000,0.998579,0.000000,0.000000,1.000000,0.934500,0,0.000777,0.001440,0.155756,11.143829,1.671574,0.000000,0.000000,0.000000
45,11.393795,0.000000,0.998764,0.000000,0.000000,1.000000,0.940500,0,0.000727,0.001164,0.140784,11.138940,1.670841,0.000000,0.000000,0.000000
46,11.323959,0.000000,0.998981,0.000000,0.000000,1.000000,0.946500,0,0.000561,0.001302,0.125936,11.072099,1.660815,0.000000,0.000000,0.000000
47,11.360091,0.000000,0.999029,0.000000,0.000000,1.000000,0.952000,0,0.000666,0.001157,0.112561,11.110982,1.666647,0.000000,0.000000,0.000000
48,11.416770,0.000000,0.999127,0.000000,0.000000,1.000000,0.957500,0,0.000747,0.001312,0.097929,11.170405,1.675561,0.000000,0.000000,0.000000
49,11.340364,0.000000,0.999843,0.000000,0.000000,1.000000,0.963000,0,0.000555,0.001265,0.082037,11.096752,1.664513,0.000000,0.000000,0.000000
50,11.122376,0.000000,1.000000,0.000000,0.000000,1.000000,0.968000,0,0.000814,0.001183,0.072042,10.881520,1.632228,0.000000,0.000000,0.000000
51,11.066963,0.000000,1.000054,0.000000,0.000000,1.000000,0.973000,0,0.000800,0.001304,0.063087,10.828846,1.624327,0.000000,0.000000,0.000000
52,11.558021,0.000000,1.000152,0.000000,0.000000,1.000000,0.978000,0,0.000781,0.001330,0.053666,11.347657,1.702149,0.000000,0.000000,0.000000
53,11.257132,0.000000,1.000152,0.000000,0.000000,1.000000,0.981500,0,0.000717,0.001521,0.046690,11.073778,1.661067,0.000000,0.000000,0.000000
54,11.169985,0.000000,1.000253,0.000000,0.000000,1.000000,0.985000,0,0.000816,0.001402,0.038471,11.013620,1.652043,0.000000,0.000000,0.000000
55,11.500090,0.000000,1.000409,0.000000,0.000000,1.000000,0.987500,0,0.000653,0.001363,0.031305,11.319980,1.697997,0.000000,0.000000,0.000000
56,11.235608,0.000000,1.000501,0.000000,0.000000,1.000000,0.988500,0,0.000555,0.001149,0.027928,11.031240,1.654686,0.000000,0.000000,0.000000
