epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,11.009279,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000522,0.000895,5.992727,10.884177,1.632627,0.000000,0.000000,0.000000
1,11.240771,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000447,0.001322,5.992727,11.115670,1.667351,0.000000,0.000000,0.000000
2,11.396748,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000611,0.001400,5.992727,11.271659,1.690749,0.000000,0.000000,0.000000
3,11.205625,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000623,0.001505,5.992727,11.080536,1.662080,0.000000,0.000000,0.000000
4,11.058136,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000688,0.001223,5.992727,10.933049,1.639957,0.000000,0.000000,0.000000
5,11.504983,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000715,0.001260,5.992727,11.379891,1.706984,0.000000,0.000000,0.000000
6,11.406848,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000639,0.001181,5.992727,11.281758,1.692264,0.000000,0.000000,0.000000
7,11.454157,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000530,0.001447,5.992727,11.329054,1.699358,0.000000,0.000000,0.000000
8,11.267781,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000384,0.001075,5.992727,11.142685,1.671403,0.000000,0.000000,0.000000
9,11.327667,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000551,0.001737,5.992727,11.202560,1.680384,0.000000,0.000000,0.000000
10,11.219051,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000545,0.001490,5.992727,11.093944,1.664092,0.000000,0.000000,0.000000
11,11.060059,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000997,0.001414,5.992727,10.934964,1.640245,0.000000,0.000000,0.000000
12,11.399023,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000540,0.001384,5.992727,11.273934,1.691090,0.000000,0.000000,0.000000
13,11.315980,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000667,0.001555,5.992727,11.190879,1.678632,0.000000,0.000000,0.000000
14,11.107595,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000583,0.001110,5.992727,10.982498,1.647375,0.000000,0.000000,0.000000
15,11.348744,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000543,0.001243,5.992727,11.223647,1.683547,0.000000,0.000000,0.000000
16,11.230507,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000682,0.001566,5.992727,11.105417,1.665813,0.000000,0.000000,0.000000
17,11.288541,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000631,0.001235,5.992727,11.163435,1.674515,0.000000,0.000000,0.000000
18,11.173092,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000710,0.001311,5.992727,11.047982,1.657197,0.000000,0.000000,0.000000
19,11.306794,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000563,0.001085,5.992727,11.181700,1.677255,0.000000,0.000000,0.000000
20,11.108062,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000563,0.001380,5.992727,10.982970,1.647446,0.000000,0.000000,0.000000
21,10.984638,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000589,0.001527,5.992727,10.859544,1.628932,0.000000,0.000000,0.000000
22,11.201372,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000595,0.001353,5.992727,11.076280,1.661442,0.000000,0.000000,0.000000
23,11.186582,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000789,0.001361,5.992727,11.061489,1.659223,0.000000,0.000000,0.000000
24,11.048288,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000430,0.001340,5.992727,10.923203,1.638481,0.000000,0.000000,0.000000
25,11.461215,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000413,0.001359,5.992727,11.336124,1.700419,0.000000,0.000000,0.000000
26,11.115932,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000568,0.001557,5.992727,10.990842,1.648626,0.000000,0.000000,0.000000
27,11.268414,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000636,0.001312,5.992727,11.143317,1.671497,0.000000,0.000000,0.000000
28,11.083268,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000754,0.001502,5.992727,10.958176,1.643726,0.000000,0.000000,0.000000
29,11.115572,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000715,0.001300,5.992727,10.990472,1.648571,0.000000,0.000000,0.000000
30,11.075554,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000682,0.001225,5.992727,10.950457,1.642569,0.000000,0.000000,0.000000
31,11.002021,0.000000,1.000000,0.000000,0.000000,1.000000,0.772978,0,0.000575,0.001076,5.992727,10.876911,1.631537,0.000000,0.000000,0.000000
