variant,heterogeneity_ratio,workload_imbalance,std_workload_imbalance,scheduling_latency_ms,std_scheduling_latency_ms
static_assignment,1.000000,0.917666,0.000000,0.000645,0.000594
static_assignment,2.000000,1.482305,0.000000,0.000583,0.000103
static_assignment,4.000000,2.584049,0.000000,0.000572,0.000099
static_assignment,6.000000,3.778461,0.000000,0.000580,0.000107
static_assignment,8.000000,4.866379,0.000000,0.000572,0.000106
static_assignment,10.000000,5.992727,0.000000,0.000600,0.000102
capacity_aware,1.000000,0.249018,0.249586,0.000576,0.000127
capacity_aware,2.000000,0.376592,0.421622,0.000619,0.000747
capacity_aware,4.000000,0.775454,0.694107,0.000588,0.000122
capacity_aware,6.000000,1.199656,0.992002,0.000569,0.000121
capacity_aware,8.000000,1.583620,1.264599,0.000620,0.000557
capacity_aware,10.000000,1.969915,1.553588,0.000664,0.000694
